StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q28,Q26,Q3,Q4,Q5,Q5_2_TEXT,Q6,Q7,Q8,Q8_9_TEXT,Q9,Q11,Q12,Q25,Q16,Q13,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q14,Q17,Q18,Q18_3_TEXT,Q19,Q19_3_TEXT,Q20,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_7_TEXT,Q23,PROLIFIC_PID
2022-06-23 10:32:02,2022-06-23 10:41:20,IP Address,165.165.169.6,100,557,True,2022-06-23 10:41:20,R_3kH8kLCWKg9a92W,,,,,-26.7168,27.1054,anonymous,EN,Agree,,61544c72236c88d054490ea6,27,Female,South Africa,,potchefstroom,secunda,Diploma,,Yes,Yes,No,there were no clear side effects that could arise from taking the vacine plus i saw quite a few people passing on shortly after taking the vaccine,,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Often,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",,,,Government,Scientific research papers,,,,61544c72236c88d054490ea6
2022-06-23 10:32:22,2022-06-23 10:46:36,IP Address,41.246.130.100,100,853,True,2022-06-23 10:46:36,R_1mIx7BbMO2WhucR,,,,,-33.9672,25.5785,anonymous,EN,Agree,,61334e6f67cc0d10e4810dfc,23,Female,South Africa,,Mthatha,Mthatha,Honours Degree,,No,Yes,No,"There were side effects that were reported globally and this made me hesitant. After a while vaccinated people, even young claimed to have been sick even after vaccinating. This made me question the effectiveness of the vaccine. When experts were asked they verified that one can indeed get the virus even after vaccinating. Some died a few weeks after vaccinating. I then decided to not vaccinate as it had side effects that were fatal to some, which was reported less on the news as they were encouraging people to vaccinate. It was not that effective and one could get COVID even after vaccinating so even if I didn't vaccinate, should I be infected I would treat myself the same way an infected person who vaccinated would. Its been almost 2 years since the COVID outbreak and I've never had COVID. ",,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither too much nor too little,No,No,,No,,More people who have not been vaccinated,,,,,,,Other,Real people stories as the ones listed above can be bias to push a certain agenda.,Enjoyed taking the survey and I answered as best as I could. Please give me a bonus.,61334e6f67cc0d10e4810dfc
2022-06-23 16:55:50,2022-06-23 16:55:57,IP Address,169.1.101.102,100,6,True,2022-06-23 16:55:57,R_XKVJ5JFAEQSLueZ,,,,,-25.7599,28.2604,anonymous,EN,I do not wish to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62b16e9d6061f209a839f7bb
2022-06-23 17:00:13,2022-06-23 17:04:22,IP Address,197.184.183.86,100,248,True,2022-06-23 17:04:22,R_1mUEssX8VZRnP6i,,,,,-26.3811,27.8376,anonymous,EN,Agree,,5ec27e2900238505d981667a,24,Female,South Africa,,"Johannesburg ","Johannesburg ",Diploma,,No,Yes,I prefer not to say,,,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Often,No,No,,No,,More people who have been vaccinated,,,,,,,Other,,,5ec27e2900238505d981667a
2022-06-23 17:01:20,2022-06-23 17:06:01,IP Address,105.224.241.190,100,280,True,2022-06-23 17:06:01,R_3jd6tmPTKEqeVRb,,,,,-25.8775,28.168,anonymous,EN,Agree,,613a1f62e0aa7ebe57e8d140,23,Female,South Africa,,Centurion,Centurion,Bachelor Degree,,No,Yes,No,Just felt that there ought to be more extensive research and time to see the long-term results of the vaccine for the majority of the national and global population.,,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Extremely often,No,No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,Scientific research papers,,,N/A,613a1f62e0aa7ebe57e8d140
2022-06-23 17:02:43,2022-06-23 17:06:13,IP Address,196.47.236.221,100,210,True,2022-06-23 17:06:14,R_1jy2H3tqMIUwpJ6,,,,,-33.914,18.4129,anonymous,EN,Agree,,61438c83c0d9428ad7b4e4b8,22,Male,South Africa,,Cape Town,Polokwane,Bachelor Degree,,No,Yes,Yes,,conscious health choice,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,Yes,Yes,,Yes,,More people who have been vaccinated,,,,,Government,Scientific research papers,,,,61438c83c0d9428ad7b4e4b8
2022-06-23 17:02:31,2022-06-23 17:06:54,IP Address,197.185.96.99,100,263,True,2022-06-23 17:06:54,R_2ZPJySwHXPokwVF,,,,,-26.3811,27.8376,anonymous,EN,Agree,,6148619a82570cb41a0b8b32,25,Male,South Africa,,Pretoria,Bethal,Diploma,,No,I don't remember,No,I found it hard to trust it as it was in its trial phase and doctors and scientist were not 100% sure of the side-effects and its effectiness,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Sometimes,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",Newspapers,,Facebook or other social media,,,,,,6148619a82570cb41a0b8b32
2022-06-23 17:05:08,2022-06-23 17:08:47,IP Address,197.184.168.3,100,218,True,2022-06-23 17:08:47,R_839FFrZWraEaR8d,,,,,-26.3811,27.8376,anonymous,EN,Agree,,6172ae39f6a1108d3bd2ebd8,23,Female,South Africa,,"Boksburg ",Johannesburg,Matric,,No,Yes,No,"I have always been skeptical about it, I have been planning on going though. I'm definitely going to get vaccinated this week. ",,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Extremely often,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,Yes,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,,6172ae39f6a1108d3bd2ebd8
2022-06-23 17:05:18,2022-06-23 17:08:58,IP Address,102.250.3.145,100,219,True,2022-06-23 17:08:58,R_1LRs957JoCFPkUI,,,,,-25.7599,28.2604,anonymous,EN,Agree,,6140c6ea5b79d814890d4eae,31,Male,South Africa,,Pretoria,"Pretoria ",Diploma,,Yes,I don't remember,Yes,,It was compulsory for me to do so at work,I am still deciding,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Often,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,Yes,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,Scientific research papers,,,,6140c6ea5b79d814890d4eae
2022-06-23 17:04:30,2022-06-23 17:09:11,IP Address,105.243.105.183,100,281,True,2022-06-23 17:09:12,R_oYMLHdQKAEEjl17,,,,,-34.0486,18.4811,anonymous,EN,Agree,,60ec3a9f215cdd6282ebae6c,29,Female,South Africa,,cape town,king williams town,Bachelor Degree,,No,Yes,No,people that i know that have taken some died and some are always sick especially the arm that was injected.,,,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely often,No,No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,,60ec3a9f215cdd6282ebae6c
2022-06-23 17:05:13,2022-06-23 17:09:45,IP Address,102.38.101.63,100,271,True,2022-06-23 17:09:45,R_Cghur5EsFV6aPap,,,,,-26.1,28.25,anonymous,EN,Agree,,612687b5900550f2ada43cf2,30,Male,South Africa,,Tembisa,Tembisa,Matric,,No,No,No,because i felt i can be fine without it and am still fine.,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Sometimes,No,No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,,612687b5900550f2ada43cf2
2022-06-23 17:06:18,2022-06-23 17:09:57,IP Address,41.13.94.16,100,219,True,2022-06-23 17:09:58,R_111olI0XBZ1XiTb,,,,,-25.7599,28.2604,anonymous,EN,Agree,,616ae5021faa30a6000cae6d,27,Male,South Africa,,Delmas,THOHOYOANDOU,Honours Degree,,No,Yes,Yes,,They wanted people to vaccinate at work,No,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Sometimes,No,No,,No,,I am not sure,,,,,Government,Scientific research papers,,,,616ae5021faa30a6000cae6d
2022-06-23 17:07:47,2022-06-23 17:10:16,IP Address,41.116.206.87,100,148,True,2022-06-23 17:10:16,R_sYe5oqRKY7DAvYd,,,,,-34.0486,18.4811,anonymous,EN,Agree,,60f7c71d1cffec381351b0b3,24,Female,South Africa,,"Bloemfontein ","Botshabelo ",Diploma,,No,Yes,Yes,,"To protect myself from contracting the virus ",I am still deciding,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Extremely often,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,Yes,,I am not sure,"News channels, eg. eNCA",,,,,,,,,60f7c71d1cffec381351b0b3
2022-06-23 17:03:08,2022-06-23 17:10:50,IP Address,102.216.17.82,100,462,True,2022-06-23 17:10:51,R_3ly4PskhowX9xLe,,,,,-30.8347,30.4011,anonymous,EN,Agree,,615f388ccc257e70552d9b2e,23,Male,South Africa,,Johannesburg,Margate,Matric,,No,Yes,Yes,,"I was given an ultimatum by the University of Johannesburg to either take the vaccine or not be allowed entry to any of the university's facilities. Thus, ended up taking the vaccine to be able to complete my studies.",No,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Often,No,No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,,Facebook or other social media,,,,,,615f388ccc257e70552d9b2e
2022-06-23 17:08:10,2022-06-23 17:12:00,IP Address,41.113.36.187,100,230,True,2022-06-23 17:12:01,R_u2EjTshUjLgzFkZ,,,,,-26.3811,27.8376,anonymous,EN,Agree,,6111b8bc982e6972a924ee7c,22,Female,South Africa,,Port Elizabeth,Johannesburg,Bachelor Degree,,No,Yes,No,I believe the side effects of the vaccine are way too adverse and they can deteriorate my health and chose not to vaccinate,,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Often,No,No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,,6111b8bc982e6972a924ee7c
2022-06-23 17:08:41,2022-06-23 17:12:32,IP Address,197.184.179.246,100,230,True,2022-06-23 17:12:32,R_2OHEXpF45raE4BY,,,,,-26.3811,27.8376,anonymous,EN,Agree,,6172ba80634ac91875f0de41,24,Female,Other,congolese,pretoria,"lubumbashi ",Bachelor Degree,,No,Yes,No,"i do not thbink it is necessary for me ",,,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Extremely often,No,No,,No,,More people who have not been vaccinated,,,,Facebook or other social media,,,,,,6172ba80634ac91875f0de41
2022-06-23 17:06:55,2022-06-23 17:12:34,IP Address,196.25.135.82,100,338,True,2022-06-23 17:12:34,R_1hWOQjEXmZE7rHR,,,,,-25.8681,25.6532,anonymous,EN,Agree,,614729093372b9e84bc48f8e,22,Male,South Africa,,Mafikeng,Hammanskraal,Bachelor Degree,,Yes,I don't remember,Yes,,To protect myself from getting worse if I were to get covid again,I am still deciding,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Sometimes,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",,,,Government,Scientific research papers,,,,614729093372b9e84bc48f8e
2022-06-23 17:07:56,2022-06-23 17:12:42,IP Address,197.245.240.190,100,286,True,2022-06-23 17:12:43,R_pmV2PmdInsj7OLv,,,,,-25.7599,28.2604,anonymous,EN,Agree,,6111837ea5a85155eeb8b49a,24,Male,South Africa,,Pretoria,johannesburg,Bachelor Degree,,No,Yes,Yes,,"I took the vaccine because it was said to lower the chances of me being gravely ill from Covid 19, and you can't really do anything if you're not vaccinated. they require a vaccination certificate wherever you go",I am still deciding,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Often,"It depends on the situation, eg. if you are attending an event with a large number of people",No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",,,,Government,,,,,6111837ea5a85155eeb8b49a
2022-06-23 17:10:35,2022-06-23 17:12:49,IP Address,169.159.190.165,100,134,True,2022-06-23 17:12:49,R_3HGQ3MnLkytUzcF,,,,,-25.7862,31.0506,anonymous,EN,Agree,,611cfda46e28a6675bc39937,22,Male,South Africa,,estcourt,estcourt,Matric,,No,I don't remember,No,"stigma regarding it not needing to ",,,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Often,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",Newspapers,YouTube,Facebook or other social media,Government,,,,"no comments needed ",611cfda46e28a6675bc39937
2022-06-23 17:10:30,2022-06-23 17:14:20,IP Address,102.129.63.240,100,229,True,2022-06-23 17:14:20,R_3JaNHWzcXyytWVZ,,,,,-26.7005,27.8179,anonymous,EN,Agree,,6162fc52fa68079d28dc5be9,19,Male,South Africa,,Vanderbijlpark,hazy view,Bachelor Degree,,No,Yes,No,I read many articles about the negative effects of the vaccine which led to my decision of not taking the vaccine.,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Sometimes,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",Newspapers,YouTube,,,Scientific research papers,,,,6162fc52fa68079d28dc5be9
2022-06-23 17:09:44,2022-06-23 17:14:28,IP Address,41.246.130.80,100,284,True,2022-06-23 17:14:28,R_2BhstAa0cw8l1Cn,,,,,-33.9672,25.5785,anonymous,EN,Agree,,611d7034d5e6260329eb7c77,38,Female,South Africa,,Gqeberha,Mokopane,Matric,,No,Yes,Yes,,"To lessen the risk of contracting covid ",I am going to take the vaccine booster,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Sometimes,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,Yes,,More people who have been vaccinated,,,,,,Scientific research papers,,,,611d7034d5e6260329eb7c77
2022-06-23 17:12:23,2022-06-23 17:16:22,IP Address,154.73.192.238,100,238,True,2022-06-23 17:16:22,R_2s71DPHp5Chzzkd,,,,,-26.3811,27.8376,anonymous,EN,Agree,,60fead47231209607137f36e,32,Female,South Africa,,Midrand,Bushbuckridge,Bachelor Degree,,No,Yes,No,"I witnessed my close friends and families having something that looked like blood clot, and due to my history with blood clot I decided not to take the vaccine",,,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Often,No,No,,No,,More people who have been vaccinated,,,,,Government,Scientific research papers,,,,60fead47231209607137f36e
2022-06-23 17:05:22,2022-06-23 17:17:59,IP Address,105.0.3.145,100,757,True,2022-06-23 17:17:59,R_qVjGOmByXLc1E1b,,,,,-26.3811,27.8376,anonymous,EN,Agree,,5e8a0e492f3e0c6b03e32740,32,Male,South Africa,,johannesburg,johannesburg,Matric,,No,Yes,No,I really don't trust it,,,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Often,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",Newspapers,,,,,,,none,5e8a0e492f3e0c6b03e32740
2022-06-23 17:13:30,2022-06-23 17:18:12,IP Address,197.184.173.106,100,281,True,2022-06-23 17:18:12,R_22yORkB8ruVKozR,,,,,-26.3811,27.8376,anonymous,EN,Agree,,613f00ed5c3a2ad71438d095,30,Female,South Africa,,pretoria,pretoria,Diploma,,No,Yes,No,Because of the side-effects that others have experienced.,,,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Often,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",,,,,,,,,613f00ed5c3a2ad71438d095
2022-06-23 17:16:38,2022-06-23 17:18:31,IP Address,197.94.215.219,100,112,True,2022-06-23 17:18:31,R_PBuzklZvdd2XWG5,,,,,-33.914,18.4129,anonymous,EN,Agree,,5f3fcf756fcef00644a27614,30,Male,South Africa,,Cape Town,Cape Town,Matric,,No,Yes,Yes,,"I knew i would need to be vaccinated should I wish to travel in the near future. ",Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely often,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,Yes,,More people who have been vaccinated,"News channels, eg. eNCA",,,Facebook or other social media,Government,,,,,5f3fcf756fcef00644a27614
